"wtw_category","importsequencenumber","wtw_skilllibraryid","wtw_skillname","statuscode","statecode","wtw_subcategory","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit"
"894790001","","78ba08ed-d31d-f111-88b2-7ced8d71427f","SLA","1","0","","","","3317161","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790001","","77ba08ed-d31d-f111-88b2-7ced8d71427f","Gov Portal","1","0","","","","3317160","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790001","","574048da-d31d-f111-88b2-7ced8d71427f","Saturn","1","0","","","","3317159","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790001","","534048da-d31d-f111-88b2-7ced8d71427f","Test Tracker","1","0","","","","3317158","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790001","","e6223ad4-d31d-f111-88b2-7ced8d71427f","MARS","1","0","","","","3317157","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790003","","58454620-2e39-4e4a-a093-6ea4bbec3c52","Leadership","1","0","","","","3317156","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790002","","0edbc6a7-9f60-4c6f-8bee-5596c487a786","C#","1","0","","","","3317155","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","8b15c3be-083a-f111-88b4-7c1e528d3128","Closed Loop Payroll","1","0","Payroll","","","3316931","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","9715c3be-083a-f111-88b4-7c1e528d3128","Data Reconciliation","1","0","IM","","","3316919","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","6a15c3be-083a-f111-88b4-7c1e528d3128","Validations","1","0","HRIS/Import","","","3316917","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","6c15c3be-083a-f111-88b4-7c1e528d3128","Non-ESS Next","1","0","ESS/Web Admin","","","3316915","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","c0ecce98-203a-f111-88b4-7c1e528d3128","AE Live Date","1","0","Conversion","","","3316911","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","6115c3be-083a-f111-88b4-7c1e528d3128","Data Dump Conversion Layout","1","0","Conversion","","","3316907","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","9315c3be-083a-f111-88b4-7c1e528d3128","Custom Processes","1","0","Admin/ Processes","","","3316905","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","8f15c3be-083a-f111-88b4-7c1e528d3128","Age 65","1","0","Admin/ Processes","","","3316903","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","8e15c3be-083a-f111-88b4-7c1e528d3128","Overage","1","0","Admin/ Processes","","","3316901","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","8d15c3be-083a-f111-88b4-7c1e528d3128","Simon Procedure","1","0","Admin/ Processes","","","3316899","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","775273e5-1f3a-f111-88b4-7c1e528d3128","Text Communications","1","0","System Comms","","","3316898","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","c8a31bed-1f3a-f111-88b4-7c1e528d3128","Custom Communications","1","0","System Comms","","","3316897","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","725273e5-1f3a-f111-88b4-7c1e528d3128","Email Communications","1","0","System Comms","","","3316895","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","8d346adf-1f3a-f111-88b4-7c1e528d3128","Print Communications","1","0","System Comms","","","3316888","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","7415c3be-083a-f111-88b4-7c1e528d3128","Communication Triggers","1","0","System Comms","","","3316886","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","9c15c3be-083a-f111-88b4-7c1e528d3128","CDQ","1","0","Quality/Governance","","","3305865","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","9b15c3be-083a-f111-88b4-7c1e528d3128","File Automation","1","0","Quality/Governance","","","3305864","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","9a15c3be-083a-f111-88b4-7c1e528d3128","ATT (Action Base)","1","0","Quality/Governance","","","3305863","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","9915c3be-083a-f111-88b4-7c1e528d3128","ATT (SQL)","1","0","Quality/Governance","","","3305862","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","9615c3be-083a-f111-88b4-7c1e528d3128","Export","1","0","IM","","","3305859","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","9515c3be-083a-f111-88b4-7c1e528d3128","Calc","1","0","IM","","","3305858","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","9415c3be-083a-f111-88b4-7c1e528d3128","SFTP Setup","1","0","Admin/ Processes","","","3305857","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","9215c3be-083a-f111-88b4-7c1e528d3128","Age 65","1","0","Admin/ Processes","","","3305855","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","9115c3be-083a-f111-88b4-7c1e528d3128","Overage","1","0","Admin/ Processes","","","3305854","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","9015c3be-083a-f111-88b4-7c1e528d3128","Admin Guide","1","0","Admin/ Processes","","","3305853","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","8a15c3be-083a-f111-88b4-7c1e528d3128","TDS Payroll","1","0","Payroll","","","3305848","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","8915c3be-083a-f111-88b4-7c1e528d3128","APIs","1","0","Exports/Carriers","","","3305847","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","8815c3be-083a-f111-88b4-7c1e528d3128","Verification","1","0","Exports/Carriers","","","3305846","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","8715c3be-083a-f111-88b4-7c1e528d3128","Vendor Payment","1","0","Exports/Carriers","","","3305845","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","8615c3be-083a-f111-88b4-7c1e528d3128","Premium Reporting","1","0","Exports/Carriers","","","3305844","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","8515c3be-083a-f111-88b4-7c1e528d3128","Port & Conversion","1","0","Exports/Carriers","","","3305843","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","8415c3be-083a-f111-88b4-7c1e528d3128","Carrier","1","0","Exports/Carriers","","","3305842","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","8315c3be-083a-f111-88b4-7c1e528d3128","HCR Reporting","1","0","Ancillary Services","","","3305841","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","8215c3be-083a-f111-88b4-7c1e528d3128","Dependent Verification","1","0","Ancillary Services","","","3305840","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","8115c3be-083a-f111-88b4-7c1e528d3128","Event Verification","1","0","Ancillary Services","","","3305839","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","8015c3be-083a-f111-88b4-7c1e528d3128","Non-WTW Benefit Accounts","1","0","Ancillary Services","","","3305838","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","7f15c3be-083a-f111-88b4-7c1e528d3128","WTW Benefit Accounts","1","0","Ancillary Services","","","3305837","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","7e15c3be-083a-f111-88b4-7c1e528d3128","Direct Billing","1","0","Ancillary Services","","","3305836","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","7d15c3be-083a-f111-88b4-7c1e528d3128","Non-WTW COBRA","1","0","Ancillary Services","","","3305835","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","7c15c3be-083a-f111-88b4-7c1e528d3128","WTW COBRA","1","0","Ancillary Services","","","3305834","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","7b15c3be-083a-f111-88b4-7c1e528d3128","Custom Reporting","1","0","Reporting","","","3305833","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","7a15c3be-083a-f111-88b4-7c1e528d3128","Izenda","1","0","Reporting","","","3305832","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","7915c3be-083a-f111-88b4-7c1e528d3128","Batch Reporting","1","0","Reporting","","","3305831","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","7815c3be-083a-f111-88b4-7c1e528d3128","SSRS Reporting","1","0","Reporting","","","3305829","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","7315c3be-083a-f111-88b4-7c1e528d3128","Triggers","1","0","System Comms","","","3305824","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","7215c3be-083a-f111-88b4-7c1e528d3128","Plan Sponsor","1","0","ESS/Web Admin","","","3305823","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","7115c3be-083a-f111-88b4-7c1e528d3128","Web Admin","1","0","ESS/Web Admin","","","3305822","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","7015c3be-083a-f111-88b4-7c1e528d3128","Embark Integration","1","0","ESS/Web Admin","","","3305821","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","6f15c3be-083a-f111-88b4-7c1e528d3128","ESS Customization","1","0","ESS/Web Admin","","","3305820","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","6e15c3be-083a-f111-88b4-7c1e528d3128","SSO Out","1","0","ESS/Web Admin","","","3305819","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","6d15c3be-083a-f111-88b4-7c1e528d3128","SSO In","1","0","ESS/Web Admin","","","3305818","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","6b15c3be-083a-f111-88b4-7c1e528d3128","ESS New","1","0","ESS/Web Admin","","","3305816","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","6915c3be-083a-f111-88b4-7c1e528d3128","Image import","1","0","HRIS/Import","","","3305814","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","6815c3be-083a-f111-88b4-7c1e528d3128","HSA status","1","0","HRIS/Import","","","3305813","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","6715c3be-083a-f111-88b4-7c1e528d3128","Hours import","1","0","HRIS/Import","","","3305812","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","6615c3be-083a-f111-88b4-7c1e528d3128","Non-WTW file layout","1","0","HRIS/Import","","","3305811","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","6515c3be-083a-f111-88b4-7c1e528d3128","ATT (SQL)","1","0","HRIS/Import","","","3305810","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","6415c3be-083a-f111-88b4-7c1e528d3128","ATT layout","1","0","HRIS/Import","","","3305809","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","6315c3be-083a-f111-88b4-7c1e528d3128","901 Analysis","1","0","Conversion","","","3305808","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","6215c3be-083a-f111-88b4-7c1e528d3128","Hours Conversion","1","0","Conversion","","","3305807","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","6015c3be-083a-f111-88b4-7c1e528d3128","WTW Standard Conversion Layout","1","0","Conversion","","","3305805","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","5d15c3be-083a-f111-88b4-7c1e528d3128","Events","1","0","Plan Design/Calc","","","3305802","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","5c15c3be-083a-f111-88b4-7c1e528d3128","EOI Decision File","1","0","Plan Design/Calc","","","3305801","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","5b15c3be-083a-f111-88b4-7c1e528d3128","EOI calculation","1","0","Plan Design/Calc","","","3305800","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","5a15c3be-083a-f111-88b4-7c1e528d3128","STD","1","0","Plan Design/Calc","","","3305799","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","5915c3be-083a-f111-88b4-7c1e528d3128","LTD","1","0","Plan Design/Calc","","","3305798","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","5815c3be-083a-f111-88b4-7c1e528d3128","Loading Rates","1","0","Plan Design/Calc","","","3305797","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","5715c3be-083a-f111-88b4-7c1e528d3128","Post-65 Retiree","1","0","Plan Design/Calc","","","3305796","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","5615c3be-083a-f111-88b4-7c1e528d3128","Pre-65 Retiree","1","0","Plan Design/Calc","","","3305795","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","5515c3be-083a-f111-88b4-7c1e528d3128","Non-standard benefits","1","0","Plan Design/Calc","","","3305794","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","5415c3be-083a-f111-88b4-7c1e528d3128","30-Hour calculation","1","0","Plan Design/Calc","","","3305793","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","5315c3be-083a-f111-88b4-7c1e528d3128","Eligibility","1","0","Plan Design/Calc","","","3305791","6e3aeb96-b40f-f111-8342-000d3a5aab88"
